t,k,delta_fdm,delta_dot_fdm,scale_factor_a
247.05040554568257,0.01,0.005088584486335584,1.3729986935935671e-05,39.3722632996348
256.3407409296515,0.01,0.005215363950563972,1.356215372842509e-05,40.35324122082057
265.98043955937584,0.01,0.005345285938345444,1.3396530955751642e-05,41.3586606549194
275.982639246618,0.01,0.0054784313252325655,1.3233040677056282e-05,42.38913057338779
286.3609718508116,0.01,0.0056148850658931946,1.3071585838716726e-05,43.44527512048423
297.1295818577334,0.01,0.005754735877914063,1.291206242419071e-05,44.52773399130642
308.30314565682767,0.01,0.005898075653453857,1.2754377015556117e-05,45.63716281924759
319.89689154345376,0.01,0.00604499851684945,1.2598471183297285e-05,46.77423357310638
331.9266204733183,0.01,0.006195599427600985,1.244435442335447e-05,47.93963496409085
344.40872759738164,0.01,0.00634997408447434,1.2292097714014428e-05,49.134072862963556
357.3602246065781,0.01,0.006508223313630035,1.2141526727632164e-05,50.35827072757927
370.7987629168165,0.01,0.006670431249951577,1.199268358059786e-05,51.61297004107567
384.7426577258498,0.01,0.006836682905896016,1.1845651700825967e-05,52.89893076098145
399.2109129748045,0.01,0.0070070680329455196,1.1700488304058626e-05,54.216931779514184
414.22324724838893,0.01,0.007181681540752374,1.15572228696282e-05,55.56777139534679
429.80012064907896,0.01,0.007360623864507155,1.1415856563350913e-05,56.95226779712818
445.9627626819086,0.01,0.0075440012473643155,1.127636297711985e-05,58.37125955905111
462.73320118786836,0.01,0.007731925895528646,1.1138690645752903e-05,59.82560614876734
480.1342923653445,0.01,0.007924515952357247,1.1002767911404275e-05,61.31618844795767
498.1897519205155,0.01,0.00812189522417244,1.086851083789559e-05,62.843909285872286
516.9241873891593,0.01,0.00832419257394777,1.0735835035821193e-05,64.40969398616444
536.3631316739234,0.01,0.008531540879074737,1.0604672449124657e-05,66.0144909273488
556.533077842764,0.01,0.008744075425396253,1.0474994380784997e-05,67.65927211722388
577.4615152359814,0.01,0.00896193158084352,1.0346842306056305e-05,69.34503378160636
599.1769669310612,0.01,0.009185251100232682,1.0220201580115666e-05,71.07279696773409
621.709028616382,0.01,0.009414169230128083,1.009496112922157e-05,72.84360816270326
645.0884089267686,0.01,0.009648804471617664,9.971198865151668e-06,74.65853992731387
669.3469712958654,0.01,0.009889281547035576,9.848974454457397e-06,76.51869154570815
694.5177773823689,0.01,0.010135732237907162,9.728325005281924e-06,78.42518969119477
720.6351321293045,0.01,0.01038829595064819,9.609264140535415e-06,80.3791891086624
747.7346305177581,0.01,0.010647120186297286,9.4917820014765e-06,82.381873313996
775.8532060787828,0.01,0.01091236086073709,9.375846524994843e-06,84.43445531091928
805.0291812295973,0.01,0.011184182407320968,9.261406421056909e-06,86.53817832569773
835.302319502677,0.01,0.011462757576137305,9.148396376969881e-06,88.69431656014702
866.7138797389224,0.01,0.01174826682270397,9.036745135525367e-06,90.90417596340295
899.3066723187613,0.01,0.012040897152973016,8.926387238459498e-06,93.16909502292046
933.125117507824,0.01,0.0123408402602922,8.817279399426804e-06,95.49044557518076
968.2153059967076,0.01,0.012648289752415448,8.709422677026257e-06,97.86963363659741
1004.6250617173404,0.01,0.012963439975374464,8.602868486767945e-06,100.30810025512513
1042.4040070215558,0.01,0.013286498527444037,8.497502947627708e-06,102.80732238308644
1081.6036303107094,0.01,0.013617639661426567,8.393343385736452e-06,105.36881377174562
1122.2773562085072,0.01,0.013957037066393074,8.290448205987207e-06,107.99412588817091
1164.4806183726855,0.01,0.014304874095415997,8.188857527336263e-06,110.68484885494117
1208.2709350447758,0.01,0.014661344612810202,8.088592127889504e-06,113.44261241326546
1253.7079874409196,0.01,0.015026653733294398,7.989653054569412e-06,116.2690869100994
1300.8537010905704,0.01,0.0154010183848463,7.892022156224011e-06,119.16598430985584
1349.7723302339418,0.01,0.01578466760807973,7.79566386274157e-06,122.1350592313228
1400.5305453932197,0.01,0.01617784248188865,7.70052860957323e-06,125.17811001041672
1453.1975242368956,0.01,0.016580795537077656,7.606558399509537e-06,128.29697978941473
1507.8450458610512,0.01,0.016993789485780748,7.513695104515654e-06,131.49355763332548
1564.547588616096,0.01,0.01741709505353818,7.421892243328082e-06,134.76977967407512
1623.3824316122782,0.01,0.017850987651632143,7.331131129381177e-06,138.12763028320092
1684.4297600423151,0.01,0.018295742568116603,7.241442473199097e-06,141.5691432737632
1747.7727744646807,0.01,0.018751650019616473,7.152807135635011e-06,145.09640313220356
1813.4978041964953,0.01,0.019218983629545883,7.065156079911636e-06,148.71154628089533
1881.6944249705555,0.01,0.019697985843339857,6.978543652430533e-06,152.41676237215083
1952.4555810168608,0.01,0.020188912158827912,6.893010177823726e-06,156.21429561446982
2025.8777117350173,0.01,0.020692032554317636,6.808580125715049e-06,160.10644613183175
